;catalog_number;cataloged_date;Determined date 1;Start Date;start_year;start_month;determined_year;determined_month;cataloged_month;cataloged_year;class;kingdom;genus;species;family;phylum;order;type;author;author_year;determiner_full_name;determiner_full_name1;determiner_full_name2;collector_full_name;collector_full_name2;collector_full_name3;collector_full_name4;collector_first_name;collector_last_name;qualifier;min_depth;max_depth;lat;long;continent;water_body;country;state;county;locality
244;IBUFRJ 0245;2000-02-21;2001-00-00;2000-02-21;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Typosyllis;sp.;Syllidae;Annelida;Phyllodocida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;12.0;12.0;-17.7149667;-38.6001389;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Caladas
245;IBUFRJ 0246;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Pionosyllis;sp.;Syllidae;Annelida;Phyllodocida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;8.0;8.0;-17.7521167;-38.9786667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
246;IBUFRJ 0247;2000-02-23;2001-00-00;2000-02-23;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Autolytus;sp.;Syllidae;Annelida;Phyllodocida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;29.0;29.0;-18.01315;-38.63945;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Parcel dos Abrolhos
247;IBUFRJ 0248;2000-02-19;2001-00-00;2000-02-19;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Harmothoe;macginitiei;Polynoidae;Annelida;Phyllodocida;;Pettibone;1955;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;9.0;-17.99605;-39.2726;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Paredes
248;IBUFRJ 0249;2000-02-16;2001-00-00;2000-02-16;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Harmothoe;macginitiei;Polynoidae;Annelida;Phyllodocida;;Pettibone;1955;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;10.0;-16.8864333;-39.0850667;South America;Atlantic Ocean;Brazil;Bahia;Porto;Recife de Itacolomis
249;IBUFRJ 0250;2000-02-13;2001-00-00;2000-02-13;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Harmothoe;macginitiei;Polynoidae;Annelida;Phyllodocida;;Pettibone;1955;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;3.0;6.0;-17.9549833;-39.2186333;South America;Atlantic Ocean;Brazil;Bahia;Nova Viçosa;Recife da Coroa Vermelha
250;IBUFRJ 0251;2000-02-27;2001-00-00;2000-02-27;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Lepidonotus;sp.;Polynoidae;Annelida;Phyllodocida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;26.0;26.0;-17.3500972;-38.8738;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Planície de Algas Calcárias
251;IBUFRJ 0252;2000-02-21;2001-00-00;2000-02-21;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Lepidonotus;sp.;Polynoidae;Annelida;Phyllodocida;;;;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;12.0;12.0;-17.7149667;-38.6001389;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Caladas
252;IBUFRJ 0253;2000-02-21;2001-00-00;2000-02-21;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Lepidonotus;caeruleus;Polynoidae;Annelida;Phyllodocida;;Kinberg;1855;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;12.0;12.0;-17.7149667;-38.6001389;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Caladas
253;IBUFRJ 0254;2000-02-11;2001-00-00;2000-02-11;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Kinbergonuphis;fauchaldi;Onuphidae;Annelida;Eunicida;;Lana;1991;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;4.0;4.0;-17.99605;-39.2726;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Viçosa
254;IBUFRJ 0255;2000-02-15;2001-00-00;2000-02-15;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Kinbergonuphis;fauchaldi;Onuphidae;Annelida;Eunicida;;Lana;1991;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;1.0;1.0;-17.00535;-39.1274667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Pataxos
255;IBUFRJ 0256;2000-02-26;2001-00-00;2000-02-26;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Kinbergonuphis;fauchaldi;Onuphidae;Annelida;Eunicida;;Lana;1991;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;16.0;16.0;-17.4601833;-39.03195;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Timbebas
256;IBUFRJ 0257;2000-02-18;2001-00-00;2000-02-18;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Kinbergonuphis;fauchaldi;Onuphidae;Annelida;Eunicida;;Lana;1991;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;9.0;-17.7081167;-39.0001;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Paredes
257;IBUFRJ 0258;2000-02-12;2001-00-00;2000-02-12;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Diopatra;tridentata;Onuphidae;Annelida;Eunicida;;Hartman;1944;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;26.0;26.0;-18.0106667;-39.0194667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Popa Verde
258;IBUFRJ 0259;2000-02-19;2001-00-00;2000-02-19;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Diopatra;tridentata;Onuphidae;Annelida;Eunicida;;Hartman;1944;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;5.0;20.0;-17.7460167;-38.91915;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Paredes
259;IBUFRJ 0260;2000-02-13;2001-00-00;2000-02-13;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Neopseudocapitella;brasiliensis;Capitellidae;Annelida;Scolecida;;Rullier & Amoureux;1979;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;3.0;6.0;-17.9549833;-39.2186333;South America;Atlantic Ocean;Brazil;Bahia;Nova Viçosa;Recife da Coroa Vermelha
260;IBUFRJ 0261;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Neopseudocapitella;brasiliensis;Capitellidae;Annelida;Scolecida;;Rullier & Amoureux;1979;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;8.0;8.0;-17.7521167;-38.9786667;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
261;IBUFRJ 0262;2000-02-23;2001-00-00;2000-02-23;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Neopseudocapitella;brasiliensis;Capitellidae;Annelida;Scolecida;;Rullier & Amoureux;1979;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;34.0;34.0;-18.1114;-38.5839333;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Recife Califórnia
262;IBUFRJ 0263;2000-02-25;2001-00-00;2000-02-25;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Notomastus;tenuis;Capitellidae;Annelida;Scolecida;;Moore; 1909 ;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;cf.;14.0;14.0;-17.6824167;-38.9664;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife da Lixa
263;IBUFRJ 0264;2000-02-11;2001-00-00;2000-02-11;2000.0;2.0;2001.0;0.0;2.0;2000.0;Polychaeta;Animalia;Neopseudocapitella;brasiliensis;Capitellidae;Annelida;Scolecida;;Rullier & Amoureux;1979;Paulo C. Paiva;;;Paulo Paiva;Barco Horizonte Aberto;;;Paulo;Paiva;;4.0;4.0;-17.99605;-39.2726;South America;Atlantic Ocean;Brazil;Bahia;Caravelas;Recife de Viçosa
