;Catalog Number;Cataloged Date;Cataloger First Name;Cataloger Last Name;Online;Object Condition;Return Date;Count;Remarks;Specimen condition;Kingdom;Phylum 1;Class 1;Order 1;Family 1;Genus 1;Species 1;Species Author 1;Species Author Year 1;Qualifier 1;Type Status 1;Current 1;Determiner Last Name 1;Determined date 1;Remarks 1;Phylum 2;Class 2;Order 2;Family 2;Genus 2;Species 2;Species Author 2;Qualifier 2;Type Status 2;Current 2;Determiner Last Name 2;Determined date 2;Remarks 2;Start Date;End Date;Verbatim Date;Collector First Name 1;Collector Middle 1;Collector Last Name 1;Collector First Name 2;Collector Middle 2;Collector Last Name 2;Collector First Name 3;Collector Middle 3;Collector Last Name 3;Collector First Name 4;Collector Middle 4;Collector Last Name 4;Min Depth;Max Depth;Substratum;Habitat;Associated Taxa;Researcher Code;Trip Name;Remarks (CT);Method;Prep Type 1;Count 1;Description 1;Fluid Preservation 1;Storage Location 1;Prep Type 2;Count 2;Description 2;Fluid Preservation 2;Storage Location 2;Prep Type 3;Count 3;Description 3;Fluid Preservation 3;Storage Location 3;Continent;WaterBody;Country;State;County;Locality Name;Verbatim locality;Locality and habitat notes;LocationRemarks;Latitude/Longitude Type;Latitude;Longitude;Object Condition Citation;Journal
10;IBUFRJ 0011;1997-11-04;Unknown;Unknown;Yes;Available;;4.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;58.0;58.0;;Marine;;;Projeto Revizee;;;Formaldehyde 4%;4.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-19.8000278;-37.7727778;;
11;IBUFRJ 0012;1997-11-05;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;62.0;62.0;;Marine;;;Projeto Revizee;;Dredge;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-20.3500833;-36.6372222;;
12;IBUFRJ 0013;1997-11-06;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;50.0;50.0;Biodetritic calcareous;Marine;;;Projeto Revizee;;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Bahia;;Bahia;;;;Point;-17.5725;-38.4225;;
13;IBUFRJ 0014;1997-11-07;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;donathi;Carrera-Parra & Salazar-Vallejo;1998;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;55.0;55.0;Calcareous algae;Marine;Calcareous algae;;Projeto Revizee;;Van Veen grab;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-20.5834167;-38.0819444;;
14;IBUFRJ 0015;1992-03-15;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;23.0;23.0;;Marine;;;Monitoramento da Bacia de Campos;St. 9S;Circular dredge;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-21.6667222;-40.5461111;;
15;IBUFRJ 0016;1992-03-15;Unknown;Unknown;Yes;Available;;3.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;47.0;47.0;;Marine;;;Monitoramento da Bacia de Campos;St. 32S;Circular dredge;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.6763889;-41.7225;;
16;IBUFRJ 0017;1992-03-15;Unknown;Unknown;Yes;Available;;3.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;48.0;48.0;;Marine;;;Monitoramento da Bacia de Campos;St. 27S;Van Veen grab;Formaldehyde 4%;3.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.4013889;-41.0855556;;
17;IBUFRJ 0018;1996-03-06;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;60.0;60.0;;Marine;;;Projeto Revizee. N/ApOc Antares;St. 7D;Dredge;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro;;;;Point;-22.3327778;-40.8483333;;
18;IBUFRJ 0019;1992-03-15;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;48.0;48.0;;Marine;;;Monitoramento da Bacia de Campos;St. 27S;Circular dredge;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.4013889;-41.0855556;;
19;IBUFRJ 0020;1996-02-12;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;60.0;60.0;;Marine;;;Projeto Revizee. N/ApOc Antares;St. 6D;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Rio de Janeiro;;;;Point;-22.3000278;-40.8138889;;
20;IBUFRJ 0021;1997-10-03;Unknown;Unknown;Yes;On loan/Lost;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;10.0;10.0;;Marine;;;SCUBA;;;Formaldehyde 4%;;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Bahia;Caravelas, Abrolhos;Chapeirão;;;;Point;-17.9666667;-38.6666667;;
21;IBUFRJ 0022;1992-03-03;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;filamentosa;Grube;1856;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;30.0;30.0;;Marine;;;Monitoramento da Bacia de Campos;St. 15S;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.1761111;-40.3461111;;
22;IBUFRJ 0023;1992-03-03;Unknown;Unknown;Yes;Available;;2.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Palola;paloloides;(Moore; 1904);cf.;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;47.0;47.0;;Marine;;;Monitoramento da Bacia de Campos;St. 32S;;Formaldehyde 4%;2.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-22.6763889;-41.7225;;
23;IBUFRJ 0024;1992-03-03;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Palola;paloloides;(Moore; 1904);cf.;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;98.0;98.0;;Marine;;;Monitoramento da Bacia de Campos;St. 43S;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Rio de Janeiro;;Bacia de Campos;Bacia de Campos;;;Point;-23.2708333;-41.2541667;;
24;IBUFRJ 0025;1997-11-07;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Euniphysa;sp.;;;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;55.0;55.0;;Marine;;;Projeto Revizee;St. 17C;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-18.5666667;-38.0666667;;
25;IBUFRJ 0026;1997-11-07;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;websteri;Fauchald;1969;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;66.0;66.0;;Marine;;;Projeto Revizee;St. 14C;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Bahia;;Bahia;;;;Point;-17.7969444;-35.8805556;;
26;IBUFRJ 0027;1997-11-07;Unknown;Unknown;Yes;Available;;1.0;;Incomplete specimen;Animalia;Annelida ;Polychaeta;Eunicida;Eunicidae;Eunice;websteri;Fauchald;1969;;;True;"Paulo C. Paiva; Joana Zanol";1998-00-00;;;;;;;;;;;False;;;;;;;Navio;;Astro Garoupa;;;;;;;;;;25.0;25.0;;Marine;;;Projeto Revizee;St. 35 VV;;Formaldehyde 4%;1.0;;Ethanol 70%;Sala Prof. Paulo S. Young;;;;;;;;;;;South America;Atlantic Ocean;Brazil;Espírito Santo;;Espírito Santo;;;;Point;-18.8666667;-38.9666667;;
